,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,SUBCATEGORIA,PROPIETARIO,ID_DISTRITO,SHAPE
0,1,SEGURIDAD,BOMBEROS DE COSTA RICA - AEROPUERTO INTERNACIONAL TOBÍAS BOLAÑOS,BOMBEROS,BOMBEROS,ESTADO,9,"{'rings': [[[484661.8002000004, 1101137.2984999996], [484682.9364, 1101135.9003999997], [484682.8437999999, 1101131.8274000008], [484685.1997999996, 1101131.7115000002], [484685.3364000004, 1101134.9910000004], [484687.8770000003, 1101134.8472000007], [484687.8770000003, 1101131.5877], [484685.76779999956, 1101131.6834999993], [484685.76389999967, 1101131.6766], [484685.00270000007, 1101120.6040000003], [484682.26520000026, 1101120.7259], [484682.07689999975, 1101120.2271999996], [484669.9791000001, 1101121.112400001], [484668.9428000003, 1101119.0767], [484664.62870000023, 1101119.3164000008], [484665.79169999994, 1101121.4188], [484664.38900000043, 1101121.521400001], [484664.3468000004, 1101120.6040000003], [484657.9331, 1101121.2643], [484658.97059999965, 1101133.8087000009], [484661.61149999965, 1101133.6201000009], [484661.8002000004, 1101137.2984999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO SANTA CATALINA - PAVAS,POLICÍA,POLICÍA,ESTADO,9,"{'rings': [[[485141.89360000007, 1100620.8685999997], [485142.76570000034, 1100626.9730999991], [485146.4698999999, 1100626.4439000003], [485145.59779999964, 1100620.3395000007], [485141.89360000007, 1100620.8685999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,SEGURIDAD,"POLICÍA DE PROXIMIDAD, FUERZA PÚBLICA HATILLO",POLICÍA,POLICÍA,ESTADO,10,"{'rings': [[[489318.41949999984, 1096457.5447000004], [489306.1409, 1096427.2475000005], [489303.71449999977, 1096428.0699000005], [489281.90479999967, 1096435.4616], [489290.3923000004, 1096456.5642000008], [489289.3348000003, 1096457.2002000008], [489292.7296000002, 1096465.4507999998], [489296.5405000001, 1096466.7696000002], [489318.41949999984, 1096457.5447000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO CAÑADA SUR - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[490399.61259999964, 1096692.4713000003], [490404.76910000015, 1096691.0140000004], [490403.31180000026, 1096683.2792000007], [490397.9310999997, 1096684.6243999992], [490399.61259999964, 1096692.4713000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO CARMEN - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[491156.8905999996, 1096417.2945000008], [491156.9151999997, 1096398.9585999995], [491150.6244999999, 1096398.9585999995], [491150.6244999999, 1096401.7576000001], [491145.1536999997, 1096401.3759000003], [491145.2810000004, 1096417.5338000003], [491156.8905999996, 1096417.2945000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN LÓPEZ MATEO - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[489775.99480000045, 1095364.8271999992], [489781.49039999954, 1095375.4393000007], [489781.8196999999, 1095378.0677000005], [489786.8355999999, 1095377.1252999995], [489793.80929999985, 1095375.7453000005], [489792.64520000014, 1095372.3871999998], [489789.07380000036, 1095362.0848999992], [489775.99480000045, 1095364.8271999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN COLONIA KENNEDY - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[490509.12569999974, 1096253.6952], [490513.39910000004, 1096253.5335000008], [490513.39910000004, 1096243.4792999998], [490509.1656999998, 1096243.4792999998], [490509.12569999974, 1096253.6952]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[491564.5398000004, 1096250.9565999992], [491568.8393000001, 1096253.2717000004], [491572.4773000004, 1096247.1201000009], [491567.78089999966, 1096244.7389000002], [491564.5398000004, 1096250.9565999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN PARQUE DE LA PAZ - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[492323.9276999999, 1096258.955], [492338.17920000013, 1096252.8135000002], [492331.98790000007, 1096238.4465999994], [492317.7363999998, 1096244.5880999994], [492323.9276999999, 1096258.955]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN PARQUE DE LA PAZ - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[492342.02520000003, 1096233.7137000002], [492347.02579999994, 1096245.3025000002], [492358.56740000006, 1096240.3222000003], [492353.56680000015, 1096228.7334000003], [492342.02520000003, 1096233.7137000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
10,11,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO JAZMÍN - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[492266.46829999983, 1095638.1713999994], [492267.76719999965, 1095640.7492999993], [492273.99650000036, 1095637.4362000003], [492266.1054999996, 1095621.7690999992], [492260.1054999996, 1095624.4980999995], [492266.46829999983, 1095638.1713999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,SEGURIDAD,FUERZA PÚBLICA - CUARTEL GENERAL DE LA UIP,POLICÍA UIP,POLICÍA,ESTADO,11,"{'rings': [[[490669.9216, 1096547.6316999998], [490672.44010000024, 1096538.8438000008], [490616.43319999985, 1096519.7864999995], [490613.5592, 1096528.9963000007], [490669.9216, 1096547.6316999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,SEGURIDAD,CRUZ ROJA COSTARRICENSE - OFICINA ADMINISTRATIVA Y DE SERVICIOS VARIOS,CRUZ ROJA,CRUZ ROJA,ONG,5,"{'rings': [[[493935.1255999999, 1097404.3085999992], [493937.66339999996, 1097390.2802000009], [493912.3690999998, 1097387.1052], [493911.6283, 1097392.1852000002], [493895.32990000024, 1097389.856899999], [493894.69489999954, 1097395.360200001], [493892.57830000017, 1097395.2544], [493889.6041000001, 1097400.8439000007], [493900.1645999998, 1097413.0855], [493902.5871000001, 1097415.8937999997], [493903.6730000004, 1097408.9236999992], [493907.3454999998, 1097409.5046999995], [493910.7006999999, 1097410.0353999995], [493913.4539000001, 1097401.5589000005], [493927.58299999963, 1097403.3959999997], [493935.1255999999, 1097404.3085999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,SEGURIDAD,CRUZ ROJA COSTARRICENSE OFICINAS ADMINISTRATIVAS Y OPERATIVAS,CRUZ ROJA,CRUZ ROJA,ONG,5,"{'rings': [[[493938.40419999976, 1097386.0468000006], [493940.41500000004, 1097369.9601000007], [493904.74909999967, 1097371.6535], [493903.5179000003, 1097381.0925999992], [493938.40419999976, 1097386.0468000006]], [[493902.7383000003, 1097385.9409999996], [493902.3150000004, 1097382.4485], [493899.96559999976, 1097382.7195999995], [493900.51580000017, 1097386.3642999995], [493902.7383000003, 1097385.9409999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,SEGURIDAD,CRUZ ROJA COSTARRICENSE - CASETA DE VIGILANCIA,CRUZ ROJA,CRUZ ROJA,ONG,5,"{'rings': [[[493862.3432, 1097402.4000000004], [493871.1961000003, 1097411.8140999991], [493878.5734000001, 1097405.1071000006], [493869.04839999974, 1097395.8995999992], [493862.3432, 1097402.4000000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN LA SALLE - MATA REDONDA,POLICÍA,POLICÍA,ESTADO,8,"{'rings': [[[488415.37289999984, 1098045.6363999993], [488419.27550000045, 1098045.1073000003], [488419.0109000001, 1098041.9984000009], [488415.0422, 1098042.5275999997], [488415.37289999984, 1098045.6363999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN JARDINES DE AUTOPISTA - URUCA,POLICÍA,POLICÍA,ESTADO,7,"{'rings': [[[487725.51680000033, 1099787.0054000001], [487721.3735999996, 1099786.9278999995], [487721.1090000002, 1099790.1558999997], [487710.8273, 1099789.8934000004], [487710.7901999997, 1099790.6850000005], [487709.61870000046, 1099790.6850000005], [487709.41309999954, 1099803.1815000009], [487722.85529999994, 1099803.5966999996], [487722.85529999994, 1099800.1042], [487725.3635, 1099800.1042], [487725.51680000033, 1099787.0054000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,SEGURIDAD,POLICÍA DE PROXIMIDAD SAN JOSÉ - DELTA 1,POLICÍA,POLICÍA,ESTADO,2,"{'rings': [[[490994.1168999998, 1098798.8059], [490993.4068999998, 1098794.4258999992], [490993.15359999985, 1098785.5359000005], [490990.34690000024, 1098785.5559], [490990.2868999997, 1098779.9058999997], [490972.2368999999, 1098780.6259000003], [490972.9369000001, 1098802.8158999998], [490994.1168999998, 1098798.8059]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,SEGURIDAD, POLICÍA TURISTICA DE SAN JOSÉ,POLICÍA,POLICÍA,ESTADO,2,"{'rings': [[[490571.09690000024, 1099015.5858999994], [490570.44269999955, 1099011.6448999997], [490570.2569000004, 1099010.5259000007], [490567.5669, 1098994.0858999994], [490560.6668999996, 1098995.515900001], [490559.64690000005, 1098997.0958999991], [490561.5569000002, 1099016.9559000004], [490571.09169999976, 1099015.5866], [490571.09690000024, 1099015.5858999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,22,SEGURIDAD,BOMBEROS DE COSTA RICA,BOMBEROS,BOMBEROS,ESTADO,2,"{'rings': [[[490600.0469000004, 1099252.9058999997], [490599.47890000045, 1099248.0055], [490598.59690000024, 1099240.3959], [490593.1769000003, 1099240.9060999993], [490594.45689999964, 1099250.6159000006], [490591.7468999997, 1099250.9759], [490592.10699999984, 1099253.8767000008], [490583.8569, 1099254.8859], [490585.2269000001, 1099266.7558999993], [490587.20689999964, 1099268.1859000009], [490588.71690000035, 1099267.9958999995], [490590.0368999997, 1099266.0259000007], [490601.39690000005, 1099264.6059000008], [490600.0469000004, 1099252.9058999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
20,23,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO CUBA - HOSPITAL,POLICÍA,POLICÍA,ESTADO,3,"{'rings': [[[490196.8392000003, 1097222.1247000005], [490192.61649999954, 1097212.0003999993], [490183.82710000034, 1097215.2958000004], [490188.3951000003, 1097225.6467000004], [490196.8392000003, 1097222.1247000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,25,SEGURIDAD,BOMBEROS DE COSTA RICA,BOMBEROS,BOMBEROS,ESTADO,3,"{'rings': [[[491257.47009999957, 1098025.9455999993], [491260.9425999997, 1098025.6898999996], [491262.24120000005, 1098025.6129], [491271.4534999998, 1098024.9704], [491282.35360000003, 1098024.2031999994], [491282.1456000004, 1098019.9052000009], [491286.5751, 1098019.4104999993], [491285.7548000002, 1098004.8859], [491274.3875000002, 1098005.6949000005], [491263.83499999996, 1098006.4459000006], [491253.2851999998, 1098007.0954999998], [491253.2796, 1098007.0958999991], [491253.5471000001, 1098011.7985999994], [491253.2092000004, 1098011.9913999997], [491253.97759999987, 1098020.4871999994], [491251.80960000027, 1098020.6832999997], [491252.2056999998, 1098026.3117999993], [491257.47009999957, 1098025.9455999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,26,SEGURIDAD,BOMBEROS DE COSTA RICA - PARQUEO PRIVADO,BOMBEROS,BOMBEROS,ESTADO,3,"{'rings': [[[491257.47009999957, 1098025.9455999993], [491252.20600000024, 1098026.3160999995], [491252.2056999998, 1098026.3117999993], [491247.5685999999, 1098026.634299999], [491249.1797000002, 1098043.5588000007], [491257.9402999999, 1098042.6108], [491257.71580000035, 1098039.2201000005], [491258.1190999998, 1098039.1933999993], [491258.4685000004, 1098039.1701999996], [491257.47009999957, 1098025.9455999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,27,SEGURIDAD,MINISTERIO DE SEGURIDAD-CRIADERO DE CABALLOS,POLICÍA,POLICÍA,ESTADO,4,"{'rings': [[[492120.5060999999, 1096457.648], [492116.82940000016, 1096438.6988999993], [492108.20330000017, 1096440.3958], [492112.16280000005, 1096459.2035000008], [492120.5060999999, 1096457.648]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,28,SEGURIDAD,BOMBEROS DE COSTA RICA,BOMBEROS,BOMBEROS,ESTADO,4,"{'rings': [[[492130.6498999996, 1097505.1147000007], [492128.33189999964, 1097502.193], [492123.1989000002, 1097495.7226999998], [492119.4166000001, 1097498.5007000007], [492119.0990000004, 1097498.7339999992], [492124.0728000002, 1097504.8955000006], [492109.0203, 1097516.4968999997], [492114.27809999976, 1097523.0381000005], [492118.8331000004, 1097528.7049000002], [492136.04449999984, 1097514.7313], [492129.2304999996, 1097506.4327000007], [492130.6498999996, 1097505.1147000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,29,SEGURIDAD,CRUZ ROJA COSTARRICENSE,CRUZ ROJA,CRUZ ROJA,ONG,4,"{'rings': [[[492005.1261999998, 1096690.0187], [492003.41779999994, 1096700.7838000003], [492001.66839999985, 1096711.8077000007], [492002.3706, 1096711.9146999996], [492011.5104, 1096713.3069000002], [492011.73029999994, 1096711.739], [492012.2690000003, 1096707.8969999999], [492013.5323999999, 1096698.8872999996], [492014.5711000003, 1096691.4793999996], [492005.1261999998, 1096690.0187]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,30,SEGURIDAD,POLICÍA MUNICIPAL - DELEGACIÓN 76,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,2,"{'rings': [[[491081.27689999994, 1098848.515900001], [491069.02689999994, 1098850.6359], [491055.1568999998, 1098853.0359000005], [491055.31630000006, 1098853.8641], [491027.62689999957, 1098859.1959000006], [491027.9068999998, 1098860.5359000005], [491022.80680000037, 1098861.6153999995], [491022.4769000001, 1098860.0559], [491015.0669, 1098861.6259000003], [491016.45689999964, 1098869.6859000009], [491018.0867999997, 1098879.1159000006], [491021.3069000002, 1098897.7458999995], [491036.14690000005, 1098894.7759000007], [491081.2569000004, 1098885.7358999997], [491084.94689999986, 1098882.0259000007], [491081.27689999994, 1098848.515900001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,31,SEGURIDAD,POLICÍA MUNIICPAL - DELEGACIÓN DE DETENIDOS,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,4,"{'rings': [[[492142.6436999999, 1097450.2072], [492141.6326000001, 1097445.6571999993], [492139.9417000003, 1097438.0479000006], [492139.05840000045, 1097434.0733000003], [492138.4358999999, 1097431.2721999995], [492131.6528000003, 1097433.0154], [492130.4595999997, 1097433.3220000006], [492127.3228000002, 1097434.1282000002], [492129.1032999996, 1097441.3245], [492135.4219000004, 1097439.6890999991], [492136.5351, 1097444.1417999994], [492137.17119999975, 1097443.9827999994], [492138.9205, 1097450.8209000006], [492142.6436999999, 1097450.2072]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,32,SEGURIDAD,POLICÍA MUNICIPAL - DELEGACIÓN PASEO COLÓN,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,2,"{'rings': [[[489934.89690000005, 1098846.4759], [489934.94689999986, 1098847.2159000002], [489947.7468999997, 1098845.9158999994], [489946.0669, 1098820.4559000004], [489944.54679999966, 1098820.5946999993], [489935.4330000002, 1098821.4603000004], [489920.75349999964, 1098822.8506000005], [489915.9968999997, 1098823.1859000009], [489907.39749999996, 1098823.9437000006], [489907.5469000004, 1098828.1758999992], [489909.1168999998, 1098841.5359000005], [489911.37689999957, 1098841.8209000006], [489934.3482999997, 1098839.5667000003], [489934.4168999996, 1098840.3258999996], [489921.7564000003, 1098841.2059000004], [489921.8169, 1098842.0758999996], [489921.6668999996, 1098847.3258999996], [489934.89690000005, 1098846.4759]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,33,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO ZURQUÍ - SAN FRANCISCO DE DOS RÍOS,POLICÍA,POLICÍA,ESTADO,6,"{'rings': [[[494157.67650000006, 1095704.5967999995], [494152.4463999998, 1095696.4228000008], [494136.49590000045, 1095705.3254000004], [494140.8244000003, 1095713.5567000005], [494157.67650000006, 1095704.5967999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
