province,canton,district,public_prosecutors_office,sexual_harassement,exhibitionism,pursuit_or_cornering,production_of_audiovisual_material,sexual_harassement_law
Heredia,Heredia,Heredia,Fiscalía Heredia (Adjunta),1,10,3,0,15
San Jose,Goicoechea,Calle Blancos,Fiscalía II Circuito San José (goicoechea),0,12,3,5,1
Cartago,Turrialba,Turrialba,Fiscalía Turrialba,14,1,0,2,0
Cartago,Cartago,Oriental,Fiscalía Cartago,0,10,4,3,0
Puntarenas,Perez Zeledon,San Isidro del General,Fiscalía I Circuito Zona Sur,1,7,8,0,0
Puntarenas,Puntarenas,Puntarenas,Fiscalía Puntarenas,9,3,1,2,0
Limon,Pococi,Guapiles,Fiscalía II Circuito Zona Atlántica,0,11,1,0,1
Alajuela,Grecia,Grecia,Fiscalía Grecia,6,3,3,0,0
San Jose,San Jose,Catedral,Unidad Trámite Rápido,0,1,5,2,4
San Jose,Desamparados,Desamparados,Fiscalía Desamparados,7,3,1,0,0
Guanacaste,Santa Cruz,Santa Cruz,Fiscalía Santa Crúz,0,5,1,1,4
Heredia,Heredia,Heredia,Fiscalía Heredia (flagrancia),6,3,1,0,0
San Jose,San Jose,Hatillo,Fiscalía Hatillo,7,1,0,1,0
San Jose,San Jose,Pavas,Fiscalía Pavas,5,4,0,0,0
Alajuela,Alajuela,Alajuela,Fiscalía I Circuito Alajuela,0,0,0,0,9
Limon,Limon,Limon,Fiscalía I Circuito Zona Atlántica,0,3,1,1,3
Alajuela,San Carlos,Quesada,Fiscalía II Circuito Alajuela,0,1,5,0,2
San Jose,San Jose,Catedral,Fiscalía Turno Extraordinario San José,0,3,2,3,0
Guanacaste,Cañas,Cañas,Fiscalía Cañas,6,1,0,0,0
Puntarenas,Osa,Puerto Cortes,Fiscalía Osa,6,1,0,0,0
San Jose,Tarrazu,San Marcos,Fiscalía Tarrazú,4,1,1,0,0
Guanacaste,Liberia,Liberia,Fiscalía I Circuito Guanacaste,0,3,2,1,0
San Jose,Puriscal,Santiago,Fiscalía Puriscal,5,0,0,0,0
Puntarenas,Puntarenas,Cobano,Fiscalía Cóbano,4,0,1,0,0
Limon,Talamanca,Bratsi,Fiscalía Bribrí,3,2,0,0,0
Puntarenas,Aguirre,Quepos,Fiscalía Quepos,3,2,0,0,0
Heredia,Flores,San Joaquin,Fiscalía San Joaquín de Flores,3,2,0,0,0
Puntarenas,Buenos Aires,Buenos Aires,Fiscalía Buenos Aires,2,0,3,0,0
Puntarenas,Garabito,Jaco,Fiscalía Garabito,1,3,0,1,0
Guanacaste,Liberia,Liberia,Fiscalía I Circuito Guanacaste,0,5,0,0,0
Alajuela,Upala,Upala,Fiscalía Upala,1,3,0,0,0
Cartago,Cartago,Oriental,Fiscalía Cartago,0,4,0,0,0
San Jose,San Jose,Catedral,Fiscalía I Circuito San José,0,2,1,0,1
Alajuela,Los Chiles,Los Chiles,Fiscalía Los Chiles,2,0,1,0,0
Heredia,Sarapiqui,Puerto Viejo,Fiscalía Sarapiquí,2,1,0,0,0
Puntarenas,Coto Brus,San Vito,Fiscalía Coto Brus,1,2,0,0,0
Alajuela,Alajuela,Alajuela,Fiscalía I Circuito Alajuela,0,1,2,0,0
Alajuela,San Ramon,San Ramon,Fiscalía III Circuito Alajuela,0,3,0,0,0
Alajuela,San Ramon,San Ramon,Fiscalía III Circuito Alajuela,0,2,1,0,0
Alajuela,Atenas,Atenas,Fiscalía Atenas,0,1,2,0,0
Puntarenas,Puntarenas,Puntarenas,Fiscalía Puntarenas,2,0,0,0,0
Puntarenas,Corredores,Corredor,Fiscalía II Circuito Zona Sur,2,0,0,0,0
Limon,Siquirres,Siquirres,Fiscalía Siquirres,2,0,0,0,0
Alajuela,Guatuso,Buenavista,Fiscalía Guatuso,1,1,0,0,0
Alajuela,San Carlos,Fortuna,Fiscalía La Fortuna,1,1,0,0,0
Cartago,La Union,Tres Rios,Fiscalía La Unión,1,1,0,0,0
Alajuela,San Carlos,Quesada,Fiscalía II Circuito Alajuela,0,2,0,0,0
Guanacaste,Nicoya,Nicoya,Fiscalía II Circuito Guanacaste,0,0,0,1,1
Limon,Matina,Batan,Fiscalía Batán,0,0,0,0,2
Puntarenas,Aguirre,Quepos,Fiscalía Quepos (Penal Juvenil),0,1,0,0,0
Puntarenas,Perez Zeledon,San Isidro del General,Fiscalía I Circuito Zona Sur,0,1,0,0,0
Puntarenas,Golfito,Puerto Jimenez,Fiscalía Puerto Jiménez,1,0,0,0,0
Cartago,Turrialba,Turrialba,Fiscalía Turrialba (Penal Juvenil),1,0,0,0,0
Alajuela,Alajuela,Alajuela,Fiscalía I Circuito Alajuela (Penal Juvenil),0,1,0,0,0
San Jose,San Jose,Catedral,Fiscalía Adjunta Penal Juvenil,0,1,0,0,0
Puntarenas,Golfito,Golfito,Fiscalía Golfito,0,1,0,0,0